Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted
00:09.1,0.6904532,0.0488804,0.09486954,0.000573131,0.002233931,0.004532973,0.000059542
00:09.2,0.6789569,0.04930186,0.09301149,0.000574078,0.002206578,0.004535785,0.000062828
00:09.3,0.6650256,0.0508672,0.09280346,0.000558992,0.002137681,0.00440718,0.000068665
00:09.3,0.6508059,0.05243527,0.09053975,0.000555759,0.00204778,0.004366369,0.000075243
00:09.3,0.6306292,0.05718069,0.08655461,0.000542864,0.001952822,0.004321667,0.000083947
00:09.4,0.5605848,0.09978823,0.08077138,0.000496028,0.001822983,0.004610281,0.00009119
00:09.5,0.4948297,0.1524586,0.07645698,0.00045046,0.001710632,0.004937741,0.000108278
00:09.5,0.4276855,0.2418317,0.07135332,0.000401474,0.001638245,0.005491408,0.000111231
00:09.6,0.3700919,0.3214829,0.06664682,0.00035754,0.001594457,0.006336832,0.000123514
00:09.6,0.3195983,0.4025703,0.05925486,0.000333755,0.001929907,0.005627944,0.000122747
00:09.6,0.2762888,0.472735,0.05293654,0.00030211,0.002345404,0.004937366,0.000128396
00:09.7,0.2402954,0.525466,0.04753489,0.000270045,0.002839412,0.004335183,0.000146351
00:09.8,0.2120681,0.5616448,0.04273004,0.000241913,0.003228995,0.003815553,0.000166065
00:09.8,0.1923669,0.5764234,0.03920852,0.000214091,0.003420507,0.00344216,0.000174616
00:09.8,0.1783448,0.5868031,0.03624723,0.000192062,0.003449721,0.003099467,0.000178265
00:09.9,0.1691159,0.5967858,0.03354176,0.000172053,0.003434788,0.002800497,0.000181671
00:10.0,0.1597912,0.6029174,0.03207624,0.000154643,0.003353106,0.002582198,0.000180157
00:10.0,0.1491818,0.6175184,0.03139244,0.000142027,0.003111203,0.002363272,0.000176427
00:10.0,0.1461195,0.619453,0.03099326,0.000131835,0.002894636,0.002193881,0.000171701
00:10.1,0.1381631,0.6262323,0.02988748,0.000131614,0.002679655,0.001998173,0.000162319
00:10.1,0.1329856,0.6298198,0.02994051,0.000129537,0.002457889,0.0018612,0.000154289
00:10.2,0.1206682,0.6500782,0.0318302,0.000125576,0.002231862,0.001717422,0.000148958
00:10.2,0.1666812,0.5935311,0.02915737,0.00015279,0.002064463,0.001993092,0.000139531
00:10.3,0.1735892,0.5558615,0.02847494,0.000264117,0.001957851,0.001785804,0.000132561
00:10.4,0.2128082,0.5617716,0.02704902,0.000234986,0.00180164,0.001771882,0.000124378
00:10.4,0.1867359,0.5864288,0.02898877,0.000245284,0.001882938,0.00158876,0.00013899
00:10.5,0.1714141,0.6194042,0.02694382,0.000239209,0.002399567,0.001375642,0.000133182
00:10.5,0.1741772,0.6324789,0.02437053,0.00026056,0.00341269,0.001186077,0.000124181
00:10.5,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.6,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.7,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.7,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.7,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.8,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.8,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:10.9,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:11.0,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:11.0,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:11.1,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:11.1,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:11.2,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED,FIND_FAILED
00:11.2,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.3,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.3,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.4,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.4,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.5,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.5,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.6,0.03155834,0.800951,0.001947786,0.000503952,0.02804516,0.000053451,0.000380212
00:11.6,0.02865171,0.8095002,0.001788267,0.00056814,0.02655565,0.000046435,0.00037821
00:11.7,0.02532662,0.8241743,0.001623203,0.000668213,0.02442001,0.000040459,0.000385566
00:11.7,0.02212357,0.8370606,0.001467623,0.000863216,0.02233499,0.000035498,0.000402837
00:11.7,0.01918369,0.8522913,0.001362026,0.00093603,0.01988488,0.000031696,0.000468768
00:11.8,0.01660852,0.867453,0.001285228,0.000977045,0.01774271,0.000028477,0.000515543
00:11.8,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.9,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:11.9,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
